Code,Test,Tab,Center,L/B,Task,ST,CT,ToT,Init,CFA,aCFA,FS,FCA,CEDZ,Notes,source,target,position
MasterBranchXtensorIpyleaflet,1,Y,Y,L,4-1,2:40,2:47,7.0,G to BEDZ,G to BEDZ,,0.0,,,,G,E,B
SteveIsTheBest,3,Y,N,L,4-1,4:53,4:59,6.0,G to BEDZ,G to BEDZ,,0.0,,,,G,E,B
FootballBaseballLittleLeague,1,Y,Y,L,4-1,4:16,4:22,6.0,G to BEDZ,G to BEDZ,,0.0,,,,G,E,B
DonkeyAndBabyClothes,1,Y,Y,L,4-2,4:32,5:03,31.0,R to BEDZ,G to TEDZ,,2.0,Reorganize Blue/Red panels,,,R,E,B
ThisIsGreatFun,4,Y,N,B,4-2,5:13,5:41,28.0,Missed Tab,G to TEDZ,,1.0,Nest and oranize,,,,,
JupyterConNewYork,6,N,Y,B,4-2,4:59,5:23,24.0,G to RBDZ,G to TEDZ,,2.0,Reorganize nested panes,,,G,R,B
SteveIsTheBest,3,Y,N,L,4-2,5:04,5:22,18.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
FredaMyRogerDarci,5,N,Y,L,4-2,4:32,4:44,12.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
SuperSecretCodePhrase,2,Y,Y,B,4-2,4:39,4:50,11.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
FunToBeMe,1,Y,Y,L,4-2,3:25,3:35,10.0,Missed Tab,G to TEDZ,,1.0,G to TEDZ,,,,,
LauraSuttle,3,Y,N,L,4-2,3:10,3:18,8.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
JupyterhubUpgradePsychosisAgent,5,N,Y,L,4-2,3:55,4:03,8.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
DieselRomeoRobotCoffee,6,N,Y,B,4-2,3:07,3:15,8.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
IAmMrAnnonymous,3,Y,N,L,4-2,3:55,4:02,7.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
abcdefghijklmnop,5,N,Y,L,4-2,3:06,3:13,7.0,G to TDZ,G to TEDZ,,0.0,,,,,,
NoMilkForSally,1,Y,Y,L,4-2,4:58,5:04,6.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
AriEbenPokiSushi,5,N,Y,L,4-2,5:54,6:00,6.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
SuperRobotMonkeyTeam,2,Y,Y,B,4-2,3:54,4:00,6.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
FootballBaseballLittleLeague,1,Y,Y,L,4-2,4:28,4:33,5.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
StoreCatHiddenFacts,3,Y,N,L,4-2,6:21,6:26,5.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
HamSandwichRightNow,6,N,Y,B,4-2,3:48,3:52,4.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
MasterBranchXtensorIpyleaflet,1,Y,Y,L,4-2,2:51,2:55,4.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
WetDogOnBeach,3,Y,N,L,4-2,3:32,3:36,4.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
FalseDonkey,1,Y,Y,L,4-2,4:50,4:53,3.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
HelloThereFriendWorld,5,N,Y,L,4-2,7:19,7:22,3.0,G to TEDZ,G to TEDZ,,0.0,,,,G,E,T
ThisIsGreatFun,4,Y,N,B,5-1,5:57,6:29,32.0,G to BRDZ,G to REDZ,,1.0,G to REDZ,,,G,B,R
IAmMrAnnonymous,3,Y,N,L,5-1,4:08,4:21,13.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
CILO,4,Y,N,B,5-1,5:25,5:38,13.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
KaoSitiSada,5,N,Y,L,5-1,7:40,7:51,11.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
TacoBullMonsterSurf,6,N,Y,B,5-1,7:34,7:43,9.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
